node_id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
1419,3130,Agatti,Agatti Island,India,AGX,VOAT,10.823656,72.176042,14,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1420,3131,Bangalore,Bangalore,India,BLR,VOBL,12.949986,77.668206,2912,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1421,3135,Coimbatore,Coimbatore,India,CJB,VOCB,11.030031,77.043383,1324,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1422,3136,Cochin,Cochin,India,COK,VOCC,9.947386,76.273081,8,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1423,3137,Calicut,Calicut,India,CCJ,VOCL,11.136839,75.9553,342,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1424,3141,Hyderabad,Hyderabad,India,HYD,VOHY,17.453117,78.467586,1742,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1425,3142,Madurai,Madurai,India,IXM,VOMD,9.834508,78.093378,459,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1426,3143,Mangalore,Mangalore,India,IXE,VOML,12.961267,74.890069,337,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1427,3144,Chennai Intl,Madras,India,MAA,VOMM,12.994414,80.180517,52,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1428,3146,Port Blair,Port Blair,India,IXZ,VOPB,11.641161,92.729744,14,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1429,3151,Tirupati,Tirupeti,India,TIR,VOTP,13.632492,79.543256,350,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1430,3152,Trichy,Tiruchirappalli,India,TRZ,VOTR,10.765364,78.709722,288,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1431,3153,Thiruvananthapuram Intl,Trivandrum,India,TRV,VOTV,8.482122,76.920114,15,5.5,N,IN,IND,India,IN,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
1432,3155,Paro,Thimphu,Bhutan,PBH,VQPR,27.403192,89.424606,7332,6.0,N,BT,BTN,Bhutan,BT,64.0,ISO 3166-2:BT,Asia,Southern Asia,,142.0,34.0,
1433,3156,Male Intl,Male,Maldives,MLE,VRMM,4.191833,73.529128,6,5.0,U,MV,MDV,Maldives,MV,462.0,ISO 3166-2:MV,Asia,Southern Asia,,142.0,34.0,
1434,3157,Don Muang Intl,Bangkok,Thailand,DMK,VTBD,13.912583,100.60675,9,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
1435,3161,U Taphao Intl,Pattaya,Thailand,UTP,VTBU,12.679944,101.005028,42,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
1436,3163,Lampang,Lampang,Thailand,LPT,VTCL,18.270933,99.504167,811,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
1437,3170,Phitsanulok,Phitsanulok,Thailand,PHS,VTPP,16.782939,100.279122,154,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
1438,3173,Narathiwat,Narathiwat,Thailand,NAW,VTSC,6.519922,101.7434,16,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
1439,3174,Krabi,Krabi,Thailand,KBV,VTSG,8.095969,98.988764,93,7.0,U,TH,THA,Thailand,TH,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
